INFO:root:Starting ball_detection_process
INFO:root:Starting ir_sensor_process
INFO:root:Starting vibration_sensor_process
INFO:root:MainApp initialized, processes started
DEBUG:root:Queue data: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:04.994', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.051', 'enable_ir': True}
DEBUG:root:Queue data: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.051', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.109', 'enable_ir': True}
INFO:root:Starting impact_analysis_process
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.162', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.214', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.267', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.320', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.373', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.461', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.517', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.571', 'enable_ir': True}
DEBUG:root:Queue data: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.571', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.625', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.680', 'enable_ir': True}
DEBUG:root:Queue data: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.680', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.734', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.789', 'enable_ir': True}
DEBUG:root:Queue data: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.789', 'enable_ir': True}
DEBUG:root:Ball detection result: {'source': 'ball_detector', 'detected': True, 'position': (464, 614), 'radius': 20, 'timestamp': '2025-06-17 11:35:05.844', 'enable_ir': True}
